city,type,value,timestamp
skopje,pm10,29,2018-10-12T14:00:00+02:00
skopje,pm10,29,2018-10-13T14:00:00+02:00
skopje,pm10,24,2018-10-14T14:00:00+02:00
skopje,pm10,24,2018-10-15T14:00:00+02:00
skopje,pm10,25,2018-10-16T14:00:00+02:00
skopje,pm10,31,2018-10-17T14:00:00+02:00
skopje,pm10,36,2018-10-18T14:00:00+02:00
skopje,pm10,44,2018-10-19T14:00:00+02:00
skopje,pm10,37,2018-10-20T14:00:00+02:00
skopje,pm10,35,2018-10-21T14:00:00+02:00
skopje,pm10,41,2018-10-22T14:00:00+02:00
skopje,pm10,47,2018-10-23T14:00:00+02:00
skopje,pm10,38,2018-10-24T14:00:00+02:00
skopje,pm10,14,2018-10-25T14:00:00+02:00
skopje,pm10,35,2018-10-26T14:00:00+02:00
skopje,pm10,43,2018-10-27T14:00:00+02:00
skopje,pm10,26,2018-10-28T13:00:00+01:00
skopje,pm10,23,2018-10-29T13:00:00+01:00
skopje,pm10,33,2018-10-30T13:00:00+01:00
skopje,pm10,44,2018-10-31T13:00:00+01:00
skopje,pm10,56,2018-11-01T13:00:00+01:00
skopje,pm10,47,2018-11-02T13:00:00+01:00
skopje,pm10,48,2018-11-03T13:00:00+01:00
skopje,pm10,39,2018-11-04T13:00:00+01:00
skopje,pm10,41,2018-11-05T13:00:00+01:00
skopje,pm10,53,2018-11-06T13:00:00+01:00
skopje,pm10,52,2018-11-07T13:00:00+01:00
skopje,pm10,61,2018-11-08T13:00:00+01:00
skopje,pm10,74,2018-11-09T13:00:00+01:00
skopje,pm10,74,2018-11-10T13:00:00+01:00
skopje,pm10,81,2018-11-11T13:00:00+01:00
skopje,pm10,91,2018-11-12T13:00:00+01:00
skopje,pm10,95,2018-11-13T13:00:00+01:00
skopje,pm10,90,2018-11-14T13:00:00+01:00
skopje,pm10,30,2018-11-15T13:00:00+01:00
skopje,pm10,20,2018-11-16T13:00:00+01:00
skopje,pm10,21,2018-11-17T13:00:00+01:00
skopje,pm10,44,2018-11-18T13:00:00+01:00
skopje,pm10,50,2018-11-19T13:00:00+01:00
skopje,pm10,41,2018-11-20T13:00:00+01:00
